idx,sigma,ratio_inf_to_sigma,p_cur,p_vt,delta_cur_minus_vt
908,0.0184093734749293,0.6065281031011026,0.5956,0.6159,-0.020299999999999985
909,0.0184675369366801,0.6146829078599472,0.59805,0.61775,-0.01970000000000005
910,0.0183710233000129,0.6197066926523983,0.58925,0.60965,-0.020399999999999974
911,0.0182657747710317,0.6251076911369734,0.58535,0.6043,-0.01894999999999991
912,0.0181689150259683,0.6328547322198849,0.5866,0.6066,-0.020000000000000018
913,0.0180704162365875,0.6410985998727724,0.5802,0.59935,-0.01915
914,0.0180382074630724,0.6480439502175296,0.58255,0.59985,-0.017299999999999982
915,0.018121297241519,0.6471174489725446,0.59125,0.61015,-0.018899999999999917
917,0.0179149003022799,0.6650120015315883,0.5802,0.5982,-0.017999999999999905
918,0.0178036267976398,0.6716810425553276,0.58295,0.6013,-0.018349999999999977
920,0.0175638772461399,0.6868206906517145,0.57555,0.59335,-0.017800000000000038
922,0.0173154855371225,0.702987983384711,0.5688,0.58765,-0.018850000000000033
923,0.0171594408501982,0.7145139241929344,0.56805,0.58655,-0.01849999999999996
924,0.0170893598374746,0.7197643546009876,0.56525,0.5823,-0.01705000000000001
925,0.0169243285711575,0.7333844082823008,0.5647,0.58105,-0.016349999999999976
926,0.016919280094606,0.7379115957528861,0.5636,0.57935,-0.015750000000000042
927,0.0169240875971629,0.7310218601932293,0.56195,0.5773,-0.015350000000000086
930,0.0171827710451236,0.7256940930849343,0.5681,0.5844,-0.01629999999999998
931,0.0172213302748191,0.7259716620849389,0.5661,0.58265,-0.016549999999999954
932,0.0171265700355512,0.7325264779756167,0.5674,0.58545,-0.01805000000000001
933,0.0178057810308234,0.7051414387188486,0.57695,0.5945,-0.017550000000000066
934,0.0182242582739532,0.6897177724758036,0.59015,0.6082,-0.01805000000000001
935,0.0181048960484887,0.6933196268724159,0.58605,0.60335,-0.017300000000000093
936,0.0180222548388365,0.7028570392750073,0.5857,0.6023,-0.016599999999999948
940,0.0176533727057341,0.7256056986303142,0.5844,0.6013,-0.016899999999999915
942,0.0175247954162439,0.7497786933798839,0.57305,0.5881,-0.015050000000000008
946,0.017565483184576,0.7554301420345723,0.57615,0.592,-0.01584999999999992
948,0.0173588938489836,0.7915011600060505,0.57315,0.58505,-0.01189999999999991
950,0.0170847685952035,0.8076715068085504,0.5669,0.5795,-0.012600000000000056
951,0.0169673841794824,0.8136143879951879,0.5618,0.5733,-0.011500000000000066
952,0.0168236386099866,0.8206322266617253,0.5667,0.57975,-0.013050000000000006
954,0.0169062066928919,0.8167606280345887,0.5711,0.581,-0.009899999999999909
956,0.0171112655648215,0.8086532926655737,0.5712,0.5831,-0.01189999999999991
957,0.0169871947532012,0.8190087343286981,0.56715,0.57925,-0.0121
959,0.0169149967373742,0.8226844378841439,0.56865,0.5793,-0.010650000000000048
960,0.0193230152117877,0.7225153856023118,0.6071,0.62195,-0.01485000000000003
961,0.019163072472819,0.7297508052977689,0.6008,0.6142,-0.013399999999999967
963,0.0188874582349641,0.7398357669127824,0.6034,0.6177,-0.01429999999999998
964,0.0187083791124435,0.7441388217351388,0.59475,0.6103,-0.015549999999999953
965,0.0185512678244999,0.7521615444292766,0.59315,0.60685,-0.013700000000000045
966,0.0184523103209479,0.7567520392450152,0.59555,0.6095,-0.013950000000000018
967,0.0182879571880031,0.7605938057241927,0.58745,0.6019,-0.014449999999999963
968,0.0196258135118033,0.7144891094105469,0.61325,0.62805,-0.014800000000000035
969,0.0198829281597298,0.705068659975118,0.61575,0.63235,-0.016599999999999948
970,0.0197643237356608,0.7040134925793834,0.617,0.6319,-0.014900000000000024
971,0.0195438964577561,0.7057643612688433,0.6136,0.63105,-0.017449999999999966
972,0.0193728594270225,0.706467337595939,0.60965,0.6262,-0.016549999999999954
