run_id,pattern,variant,horizon,brier_raw,brier_cal,bss_raw,bss_cal,auc_raw,auc_cal,sep_cal,event_rate,n,mean_p_raw,mean_p_cal,mean_y,std_p_raw,std_p_cal,ece_cal
exp_exp_cluster_dyn_volscaled,cluster,dyn_volscaled,5,0.046233605710631634,0.04572042600130728,-0.01356369368283672,-0.002313428562669806,0.5183303719227935,0.5244075913354731,0.0008678738779187706,0.047910295616717634,2943,0.07158191754445574,0.05588584367511655,0.047910295616717634,0.007906790590693746,0.011004244760181883,0.007975548058398903
exp_exp_cluster_dyn_volscaled,cluster,dyn_volscaled,10,0.04808016995527948,0.047516864791323554,-0.024779995672579158,-0.012773718156962488,0.5634653135301286,0.4917169771719921,-0.001579105101643441,0.04935330156569095,2938,0.08386562854549577,0.060740372259111386,0.04935330156569095,0.015965435361320834,0.01792960476114751,0.01138707069342044
exp_exp_cluster_dyn_volscaled,cluster,dyn_volscaled,20,0.059596077478844114,0.058111356089434796,-0.03832198586054991,-0.012454195114617539,0.5019235029091292,0.5163319927408836,0.002491266332307937,0.061133879781420764,2928,0.09709440459927136,0.07345253522832712,0.061133879781420764,0.028201912723763448,0.029138606200906,0.012318655446906416
exp_exp_cluster_inst_fixed_multi,cluster,inst_fixed_multi,5,0.012588729518348624,0.012395775745129041,0.1989382203474528,0.21121649614491622,0.9475505466086758,0.944692606089103,0.1644055343554125,0.015970098538905877,2943,0.03338054706082226,0.02906789498104342,0.015970098538905877,0.04171591820567849,0.04094450932842767,0.01778698578878434
exp_exp_cluster_inst_fixed_multi,cluster,inst_fixed_multi,10,0.03785558065274942,0.03739046745914783,0.10485572341674576,0.11585392780396553,0.7940773613850586,0.7873685075608139,0.11187859108382886,0.04424778761061947,2938,0.07725256410256406,0.06681842793643837,0.04424778761061947,0.06437697808618414,0.06366935124069824,0.027312600106733264
exp_exp_cluster_inst_fixed_multi,cluster,inst_fixed_multi,20,0.10411656763670687,0.10460307660603155,0.09229159428989053,0.0880501148507078,0.7086174337759957,0.6845348684672213,0.07510552326245826,0.13217213114754098,2928,0.16585556124772308,0.15243717137197008,0.13217213114754098,0.07967057620686382,0.08197165538863359,0.037070924134849526
exp_exp_cluster_legacy,cluster,legacy,5,0.04346473262194661,0.043472817431219814,-0.00014046523462019067,-0.00032649985211485877,0.5019633055796132,0.5060200953226058,0.00034296325742303596,0.045531770302412504,2943,0.04788102276588512,0.04370888884978097,0.045531770302412504,0.0012006029524527654,0.006377755425443188,0.0018228814526315001
exp_exp_cluster_legacy,cluster,legacy,10,0.045091241265127445,0.04517363357354264,-0.0004101165805432405,-0.002238101274562476,0.4586195994972539,0.45637573542452325,-0.000674587823340185,0.04731109598366236,2938,0.04721423303834805,0.04477322597172827,0.04731109598366236,0.0011752730613037723,0.005798753649764218,0.002537870011934
exp_exp_cluster_legacy,cluster,legacy,20,0.05605549525956284,0.056288629074410026,-0.0028758067082363947,-0.007046749477597647,0.507437457741718,0.45447583034916406,-0.0006959184249513972,0.05942622950819672,2928,0.0465794512750455,0.04716705409904563,0.05942622950819672,0.001114270886196998,0.012876046033691108,0.012259175409151099
exp_exp_jump_dyn_volscaled,jump,dyn_volscaled,5,0.04795257494119757,0.04804356239517885,0.0023463708020722285,0.0004533762384388851,0.5546328902297819,0.5057962172056144,0.001403036349323268,0.050628610261637785,2943,0.056333452259599015,0.055568179890151316,0.050628610261637785,0.008607451168606256,0.009417209793699895,0.0049395696285136
