idx,p_old,sigma_now,sample_vol,omega_old,alpha_old,beta_old,gamma_old,vol_inf_current_impl,ratio_inf_to_sigma,ratio_inf_to_sample,omega_sigma_anchor,omega_ratio_old_to_sigma_anchor
773,1.0,0.019776868403900215,0.016212086721490125,3.3197462563357474e-07,0.0,0.9999999999933475,6.236403866735453e-11,0.004074154057185211,0.20600602552332015,0.251303495174663,7.82249047730374e-06,0.04243848255191484
775,1.0,0.020203091673518494,0.016176664346390063,4.925758279322199e-07,0.001328686715227456,0.9993356720718062,-0.0013286896895446294,0.0049627403112203015,0.24564261705178955,0.3067839082862452,8.163298263371854e-06,0.06034029531205213
778,1.0,0.020261810907270136,0.016184984726229597,4.4171534067606046e-07,0.0006318853054825458,0.9996840736868553,-0.000631888713098551,0.004699549662872285,0.23194124574452724,0.2903647882506885,8.210819624839427e-06,0.053796741477523176
779,1.0,0.020334054691921236,0.01619498895822236,4.133287945996788e-07,0.00019430955298122774,0.9999028733025682,-0.00019431756437456737,0.004546035605886069,0.2235675901713896,0.28070631092205844,8.269475604280888e-06,0.04998246737504244
782,1.000003,0.020269518809892376,0.016192269204487644,4.003928081295057e-07,0.00013216663686280348,0.9999382909244127,-0.00013438270929674658,0.004474331280367522,0.22074185985036118,0.2763251539276208,8.217067855691624e-06,0.04872696869019648
783,1.0,0.020243704882565838,0.016201453873136994,3.8720893878689477e-07,3.691884801032508e-07,1.0,-6.159934907152786e-07,0.004400050788268793,0.21735402752577065,0.2715837000014145,8.196151747448362e-06,0.04724277328167347
785,1.0,0.02002793702932514,0.01621616594087827,3.617564756015756e-07,6.482275883928737e-09,0.9999999982144224,-4.768442727004192e-09,0.004252978224735998,0.2123522866338524,0.26226780363753827,8.022365233012357e-06,0.04509349363862581
786,1.0,0.0201317583561437,0.016206446304950897,3.740598260433974e-07,0.0,1.0,1.7450126005831188e-08,0.004324695515544413,0.21481956215834597,0.26685032820694715,8.105753890203197e-06,0.04614744428590348
787,1.0,0.020164552284871934,0.016201819935917194,3.778357299131063e-07,3.750182369823283e-13,0.9999999999999791,3.398857679034623e-09,0.00434646827845957,0.21554995206714425,0.26827037306000734,8.132183376986685e-06,0.0464617818361482
788,1.0,0.020071622769133674,0.016192066320570207,4.220463491294766e-07,0.000665181958847693,0.9996674091843173,-0.0006651821533997329,0.004593725879552847,0.22886669067022927,0.28370226434392953,8.057400811728202e-06,0.052379962098342406
789,1.0,0.02004064492209191,0.0161912042261805,4.249782491450841e-07,0.0007440978097958752,0.9996279770865109,-0.0007441329127415748,0.004609654266564283,0.23001526570049682,0.2847011378629062,8.032548977867328e-06,0.05290702245527016
795,1.0,0.02014759304247319,0.01624932893561596,3.708937079516297e-07,0.0,1.0,1.770520010600453e-08,0.004306354072481903,0.21374037401905369,0.2650173486883545,8.11851010810229e-06,0.04568494748580494
803,1.0,0.020679120000140386,0.016526993541954832,4.056409397359126e-07,6.772564879510194e-08,0.9999999999999981,-9.202047486447196e-08,0.004503559368632283,0.21778293121765865,0.27249719419322754,8.55252007960413e-06,0.04742940512975544
804,1.0,0.020671971027969503,0.01652154903454273,4.0516632989472545e-07,1.6893958773945139e-07,0.9999997776473354,1.1561665489107114e-07,0.004500923960114885,0.21773075987892318,0.27242747945150275,8.546607723624217e-06,0.0474066837974533
807,1.0,0.020617292852982295,0.01650754876493576,4.2283796961872404e-07,0.0002605472230189529,0.9998697266652896,-0.000260547254132554,0.00459803202260881,0.22301822336212795,0.2785411745913266,8.50145529171275e-06,0.04973712795160001
808,1.0,0.020575641206868965,0.016504673152190872,4.277798514149154e-07,0.00036851803802482783,0.9998157434801586,-0.0003685188309777527,0.004624823517794584,0.22477178092756764,0.2802129721169712,8.467140221476044e-06,0.050522353501350446
809,1.0,0.02054527188285683,0.016504953650651615,3.9174346532723875e-07,0.0,1.0,4.058440929606771e-09,0.004425739855251527,0.21541403202088588,0.26814615471984676,8.442163934810203e-06,0.046403205191495246
810,1.0,0.020430601349698603,0.01650529241182507,3.7885680106851515e-07,1.7184239741125622e-07,0.9999999708543287,-9.819606870857784e-08,0.004352337309242684,0.2130303085428707,0.2636934384830705,8.348189430206088e-06,0.04538191235787069
812,1.0,0.020465249486031456,0.01649288520497144,4.0219943341598926e-07,0.00020603678752655261,0.9998969816282408,-0.00020603661653262456,0.004484414306328048,0.2191233636994693,0.27189992839920535,8.37652873051013e-06,0.048015048518969906
814,1.0,0.02037837250766597,0.01649864820650314,4.28252076516189e-07,0.0006211785658885521,0.9996894107737285,-0.0006211786115792216,0.004627375479233268,0.2270728674477088,0.2804699767711474,8.30556132122398e-06,0.051562087130924715
819,1.0,0.020107083009404288,0.01651641064632744,3.413478189913657e-07,0.0,0.999999997707145,5.279371014264011e-09,0.004131269895512538,0.2054634127476522,0.2501312170045348,8.085895742941544e-06,0.042215213977912086
821,1.0,0.020208201787834005,0.016514788950118056,3.5349128116097524e-07,0.0,0.9999999999718473,9.185295653361506e-11,0.004204112755154034,0.20803992355643672,0.25456654443797666,8.167428389956312e-06,0.04328060979336803
823,1.0,0.02001968398438991,0.016528990491698443,3.297073974231737e-07,9.850556721524428e-09,1.0,-1.6858112360299384e-08,0.0040602179585779,0.20281129121437694,0.2456422224102018,8.015754936696853e-06,0.041132419844042804
824,1.0,0.019830451448974558,0.016532582442147115,3.071546223031561e-07,0.0,0.9999999999467734,1.0693580853506269e-10,0.003918894118901099,0.19762001530750561,0.23704065185306558,7.864936093402836e-06,0.03905367045013875
826,1.0,0.01968504886347407,0.01653922852794203,2.89182147928937e-07,0.0,1.0,4.491112471196173e-08,0.0038025132999697604,0.19316758248059956,0.2299087465624919,7.7500229751472e-06,0.037313714921399246
882,1.0,0.018992942858521364,0.016451613074251907,3.1169183598587774e-06,0.05023259611094418,0.9729086689009647,-0.04628245755787236,0.012483826256117868,0.65728762251906,0.7588208037579036,7.2146375685412e-06,0.4320270187167584
