horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.047877188809604704,0.05402650356778797,0.046424759324838964,0.0627910193583451
5,calibrated,0.05,2943,0.05038771358111323,0.05402650356778797,0.046424759324838964,0.0627910193583451
10,raw,0.05,2938,0.04719975039709553,0.05650102110279102,0.04871664500517241,0.06544368232176458
10,calibrated,0.05,2938,0.05304500544192754,0.05650102110279102,0.04871664500517241,0.06544368232176458
20,raw,0.05,2928,0.046544063069216754,0.06591530054644809,0.05748411223613593,0.07548405357473192
20,calibrated,0.05,2928,0.05426664493861631,0.06591530054644809,0.05748411223613593,0.07548405357473192
