date,sigma_garch_1d,sigma_source,thr_5,thr_10,thr_20,p_raw_5,p_cal_5,mc_se_5,ci_low_5,ci_high_5,paths_used_5,y_5,realized_return_5,calib_a_5,calib_b_5,p_raw_10,p_cal_10,mc_se_10,ci_low_10,ci_high_10,paths_used_10,y_10,realized_return_10,calib_a_10,calib_b_10,p_raw_20,p_cal_20,mc_se_20,ci_low_20,ci_high_20,paths_used_20,y_20,realized_return_20,calib_a_20,calib_b_20,risk_combo,p_meta20,meta_a,meta_b
2006-01-03,0.022297009113088587,gjr_garch,0.09971525614359676,0.14101866761378162,0.19943051228719352,0.05565,0.05565,0.0007249350143288707,0.05422912737191541,0.057070872628084586,100000,0.0,0.07933710409425654,0.0,1.0,0.05782,0.05782,0.0007380843285153804,0.05637335471610986,0.05926664528389015,100000,0.0,0.02224094809526589,0.0,1.0,0.06398,0.06398,0.0007738640681670134,0.06246322642639265,0.06549677357360734,100000,0.0,-0.07685608841566616,0.0,1.0,0.057967,0.057967,0.0,1.0
2006-01-04,0.018762935609750054,gjr_garch,0.08391039896170517,0.11866722423578073,0.16782079792341034,0.07524,0.07524,0.0008341399307070727,0.07360508573581413,0.07687491426418587,100000,0.0,0.059271323238965,0.0,1.0,0.08901,0.08901,0.0009004844246293214,0.08724505052772653,0.09077494947227348,100000,0.0,-0.019742233951052124,0.0,1.0,0.1017,0.1017,0.0009558091336663402,0.09982661409801397,0.10357338590198603,100000,0.0,-0.11050221932910054,0.0,1.0,0.084663,0.084663,0.0,1.0
2006-01-05,0.01768146048291004,gjr_garch,0.07907389516252622,0.11182737496851286,0.15814779032505244,0.0862,0.0862,0.0008875221687372096,0.08446045654927507,0.08793954345072492,100000,0.0,0.0274574391824971,0.0,1.0,0.10092,0.10092,0.0009525500175843785,0.09905300196553461,0.10278699803446538,100000,1.0,-0.11475055537341139,0.0,1.0,0.11736,0.11736,0.0010177751736017144,0.11536516065974065,0.11935483934025937,100000,0.0,-0.15444121334503425,0.0,1.0,0.096848,0.096848,0.0,1.0
2006-01-06,0.019447280784901492,gjr_garch,0.0869708836251304,0.12299540315423155,0.1739417672502608,0.07106,0.07106,0.0008124683156899105,0.06946756210124777,0.07265243789875223,100000,0.0,0.0012670160529293373,0.0,1.0,0.08104,0.08104,0.0008629746137633482,0.07934856975702384,0.08273143024297616,100000,0.0,-0.08194828529914266,0.0,1.0,0.09267,0.09267,0.0009169638547947242,0.09087275084460235,0.09446724915539766,100000,0.0,-0.1730017883533107,0.0,1.0,0.078376,0.078376,0.0,1.0
2006-01-09,0.01748416690971513,gjr_garch,0.07819157148015092,0.11057958085049473,0.15638314296030184,0.08707,0.08707,0.0008915650009954406,0.08532253259804894,0.08881746740195105,100000,0.0,0.00044972235448947906,0.0,1.0,0.1038,0.1038,0.00096449758942156,0.10190958472473374,0.10569041527526626,100000,0.0,-0.05112441742860441,0.0,1.0,0.12003,0.12003,0.0010277295320267877,0.11801565011722749,0.1220443498827725,100000,1.0,-0.21199397869441383,0.0,1.0,0.09868099999999999,0.09868099999999999,0.0,1.0
2006-01-10,0.017337510808217483,gjr_garch,0.07753570545562323,0.10965204622350795,0.15507141091124646,0.08962,0.08962,0.0009032621745650595,0.08784960613785249,0.09139039386214752,100000,0.0,-0.05289928029195645,-0.0027825000000000003,1.0078784116320845,0.106,0.106,0.0009734680272099335,0.10409200266666853,0.10790799733333147,100000,0.0,-0.07825256463740315,0.0,1.0,0.12121,0.12121,0.0010320762370096502,0.11918713057546108,0.12323286942453891,100000,1.0,-0.21432214079473377,0.0,1.0,0.100852,0.100852,0.0,1.0
2006-01-11,0.01720097523510481,gjr_garch,0.07692509980996957,0.10878851943816296,0.15385019961993915,0.08937,0.08937,0.0009021252856449597,0.08760183444013589,0.09113816555986412,100000,0.0,-0.07459236878839981,-0.005442635710823792,1.0145522964086324,0.10501,0.10501,0.0009694477804399782,0.10310988235033765,0.10691011764966236,100000,0.0,-0.07921462396142398,0.0,1.0,0.12656,0.12656,0.0010513922503043286,0.12449927118940352,0.1286207288105965,100000,1.0,-0.23929769204607299,0.0,1.0,0.1015,0.1015,0.0,1.0
2006-01-12,0.02432253968374588,gjr_garch,0.10877370423658406,0.15382924776093695,0.2175474084731681,0.0466,0.0466,0.0006665466225253866,0.04529356861985025,0.04790643138014976,100000,1.0,-0.13840767425758993,-0.007931015371031079,1.0204272153442226,0.04724,0.04724,0.0006708828690613585,0.045925069576639735,0.04855493042336026,100000,0.0,-0.06500876125381572,0.0,1.0,0.04927,0.04927,0.0006844155689345472,0.047928545484888285,0.05061145451511172,100000,1.0,-0.21788924966407364,0.0,1.0,0.047326,0.047326,0.0,1.0
2006-01-13,0.017874865211349455,gjr_garch,0.07993882740244707,0.11305057387274264,0.15987765480489413,0.08341,0.08341,0.0008743727574667454,0.08169622939536518,0.08512377060463482,100000,1.0,-0.08310999964835852,-0.009707515371031079,1.0249937433435563,0.0966,0.0966,0.0009341757864556328,0.09476901545854696,0.09843098454145305,100000,0.0,-0.08456844286964238,0.0,1.0,0.1119,0.1119,0.0009968871049421794,0.10994610127431333,0.11385389872568667,100000,1.0,-0.2585522715002886,0.0,1.0,0.093065,0.093065,0.0,1.0
2006-01-17,0.01714994416538075,gjr_garch,0.07669688192823451,0.10846577061463719,0.15339376385646902,0.0887,0.0887,0.0008990679062228837,0.08693782690380315,0.09046217309619685,100000,0.0,-0.051550956165710815,-0.011654459759040146,1.029568959106162,0.10473,0.10473,0.0009683058767765484,0.10283212048151796,0.10662787951848204,100000,0.0,-0.07375137362569295,0.0,1.0,0.1232,0.1232,0.0010393351721172531,0.12116290306265019,0.12523709693734983,100000,1.0,-0.2650124301459822,0.0,1.0,0.100409,0.100409,0.0,1.0
