horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.15000000000000002,170,0.17039627450980394,0.24705882352941178,0.188290158327222,0.317006617588324
5,raw,0.25,2162,0.265117961763799,0.20074005550416282,0.1843929499003791,0.21814876875531583
5,raw,0.35000000000000003,566,0.32201702002355714,0.20848056537102475,0.17703441120152472,0.24385728922891067
5,raw,0.45,41,0.43361300813008136,0.21951219512195122,0.12003040155386346,0.36705302098235293
5,raw,0.55,4,0.5398499999999999,0.25,0.045586062644636216,0.6993639475573634
5,calibrated,0.15000000000000002,239,0.17622558056242574,0.2175732217573222,0.16995482838738366,0.2741272399238118
5,calibrated,0.25,2486,0.2439027873004385,0.20273531777956558,0.18739534594337093,0.21899259455854697
5,calibrated,0.35000000000000003,187,0.3377313355820274,0.2192513368983957,0.1659302235019089,0.28387526964004756
5,calibrated,0.45,30,0.43009243046722706,0.23333333333333334,0.11792239210501232,0.40928672330324267
5,calibrated,0.55,1,0.5073333333333333,0.0,0.0,0.7934567085261071
10,raw,0.25,40,0.2837575,0.125,0.05459419773541284,0.26112420670238146
10,raw,0.35000000000000003,330,0.3700185858585859,0.4484848484848485,0.3957238576959351,0.5024314351135889
10,raw,0.45,2402,0.45013916180960317,0.3776019983347211,0.35842448491293766,0.3971703971441354
10,raw,0.55,157,0.5307571125265393,0.42038216560509556,0.3459732033388779,0.49859437121894806
10,raw,0.6500000000000001,9,0.6154259259259258,0.6666666666666666,0.35419734749908977,0.879418401317257
10,calibrated,0.25,40,0.2837575,0.125,0.05459419773541284,0.26112420670238146
10,calibrated,0.35000000000000003,584,0.37554094329396404,0.4383561643835616,0.39864539116240844,0.4788726341015401
10,calibrated,0.45,2160,0.4380051520729725,0.3712962962962963,0.3511659058161414,0.3918836778502415
10,calibrated,0.55,143,0.5378199000610266,0.43356643356643354,0.35513000316071885,0.5154788706189185
10,calibrated,0.6500000000000001,11,0.6172218017515333,0.6363636363636364,0.35379677689163724,0.8483377638586862
20,raw,0.45,71,0.47459999999999997,0.6197183098591549,0.5034164223889828,0.7237299774741948
20,raw,0.55,1517,0.5741006372225884,0.5998681608437706,0.574991458673681,0.6242403350910345
20,raw,0.6500000000000001,1330,0.6225382205513784,0.4917293233082707,0.4649235130126148,0.5185827743906269
20,raw,0.75,10,0.7094366666666667,0.9,0.5958436145024278,0.9821242504842788
20,calibrated,0.45,53,0.46759245283018874,0.49056603773584906,0.36124029356039444,0.6211669574670219
20,calibrated,0.55,1818,0.5744859031523045,0.5896589658965896,0.5668813292155569,0.6120584864083699
20,calibrated,0.6500000000000001,1009,0.6229494224969607,0.49554013875123887,0.46476504030654187,0.5263490687505902
20,calibrated,0.75,48,0.7144273915436439,0.3958333333333333,0.2702062649595057,0.5368984540306487
