horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.047808013365047,0.050288820931022764,0.042962745660834384,0.05878741288178968
5,calibrated,0.05,2943,0.05145206801532406,0.050288820931022764,0.042962745660834384,0.05878741288178968
10,raw,0.05,2938,0.04708000907646925,0.052756977535738596,0.04524167865366047,0.061440339847947494
10,calibrated,0.05,2938,0.052257003350552285,0.052756977535738596,0.04524167865366047,0.061440339847947494
20,raw,0.05,2928,0.04632619535519126,0.04918032786885246,0.041921145094992104,0.05762093112085803
20,calibrated,0.05,2775,0.05202252536666834,0.04972972972972973,0.04224558268375652,0.05845882594464461
20,calibrated,0.15000000000000002,153,0.11361763518534594,0.0392156862745098,0.018094494157286263,0.0829093211570181
