Date,Close,High,Low,Open,Volume
2000-01-03,91.6170425415039,93.3887515721733,90.63275974668758,93.3887515721733,8164300
2000-01-04,88.03425598144531,90.75087658194609,87.96535618360653,90.41622042101483,8089800
2000-01-05,88.19171905517578,89.15631598234177,86.45938171659198,88.15234775202615,12177900
2000-01-06,86.77437591552734,89.13665475170322,86.77437591552734,87.95551533361528,6227200
2000-01-07,91.81393432617188,91.81393432617188,88.23114357845247,88.38862888604453,8066500
2000-01-10,92.1288833618164,92.54228219741431,91.36114266713462,92.1288833618164,5741700
2000-01-11,91.02647399902344,92.03044246224796,90.3965330024904,91.85327155697304,7503700
2000-01-12,90.1209487915039,91.08554610272796,90.0028348350275,91.08554610272796,6907700
2000-01-13,91.34148406982422,91.8139400219095,90.25877251296207,91.00682777043046,5158300
2000-01-14,92.58163452148438,92.89660499827446,91.9516935679042,92.30603535429304,7437300
2000-01-18,91.85328674316406,92.36511388746803,91.45957355523795,91.55800185221948,6488500
2000-01-19,92.60131072998047,92.60131072998047,91.34142895134127,91.53828547925364,6157900
2000-01-20,91.1839370727539,92.58161831890364,90.59336753212727,92.58161831890364,5800100
2000-01-21,90.9870834350586,91.65639560225722,90.75085561134144,91.65639560225722,6244800
2000-01-24,88.40827178955078,91.87294688083578,87.81770217171811,91.75483295726924,7896900
2000-01-25,89.4122543334961,89.4122543334961,87.56180257053956,88.51655693759692,9942500
2000-01-26,88.7035903930664,89.16620343661657,88.25082018023006,88.8217043616324,5158100
2000-01-27,88.3492431640625,89.58943975927994,87.0106182676373,89.35321183638139,10922700
2000-01-28,85.5932388305664,88.23111693620024,85.37669659801436,87.83740378610563,11916200
2000-01-31,87.91615295410156,87.98505276049193,85.04204674467503,85.55387387786058,10768700
2000-02-01,88.7823257446289,89.25478158007704,87.2665299392328,88.03427067183601,8419900
2000-02-02,88.8610610961914,89.60911610763476,88.4279766158821,88.99886070356256,6205900
2000-02-03,90.19966125488281,90.2390325605375,88.1917246664939,88.74292294565949,7997500
2000-02-04,89.82563781738281,90.71149223372781,89.53035301193448,90.19966523761737,4925400
2000-02-07,89.68785095214844,89.94376448647196,89.09728125755572,89.80596489106699,5845800
2000-02-08,90.90837097167969,91.06585623971205,90.4752864845907,90.69182872813519,4936400
2000-02-09,88.99887084960938,91.00680821449771,88.98902801938932,91.00680821449771,8511500
2000-02-10,89.17605590820312,89.80599714199175,88.74297130997344,89.2154272353149,6690600
2000-02-11,87.36495971679688,89.41226837171956,86.95156085378365,89.35321139128911,9849800
2000-02-14,87.87675476074219,88.05392563727594,87.12869994871077,88.05392563727594,8528800
2000-02-15,88.87086486816406,88.95945029111382,86.80387166600275,87.71925436981704,11078300
2000-02-16,87.56180572509766,88.78231650633778,87.43384894964505,88.4279746666229,8845400
2000-02-17,87.10899353027344,88.46730325989805,87.06962223376257,88.46730325989805,7584200
2000-02-18,85.2389144897461,87.48307990587335,84.80582993575662,87.48307990587335,9409200
2000-02-22,85.02238464355469,85.88855387817297,84.1168440800901,85.16018429451668,16415400
2000-02-23,86.02633666992188,86.59722082631265,84.7270830726187,85.43576685296588,12119000
2000-02-24,84.29399871826172,86.32162176076078,83.84122852430562,86.10507949408613,17375000
2000-02-25,83.9888916015625,86.12478630184835,83.86093477619976,85.16018869526764,10559900
2000-02-28,85.75071716308594,86.10505896954497,83.60498066841735,84.01837944261956,13397800
2000-02-29,86.57754516601562,86.57754516601562,85.51451937270848,85.7113760010987,8242500
2000-03-01,87.20745849609375,87.56180031391084,86.43971789082339,86.6956314259135,6868000
2000-03-02,87.26651763916016,87.64054512283805,86.5184626718044,87.36494592433856,7600200
2000-03-03,88.9004135131836,89.27444093939053,88.01455908269351,88.467329124944,12770300
2000-03-06,88.03425598144531,89.03822446423908,87.40431497263354,88.70356830330782,11967100
2000-03-07,86.33148193359375,88.29020555744339,85.17987055675754,88.19177723463687,20062000
2000-03-08,86.22319030761719,86.83344576413229,85.06173637424975,85.9672767290786,11808500
2000-03-09,88.74292755126953,88.74292755126955,85.7507081662223,86.45939170478611,5500900
2000-03-10,88.27049255371094,89.45163206156613,87.89646504289014,88.30986387063945,7924600
2000-03-13,87.30590057373047,88.48704015308195,85.47513422573567,86.10507533472313,10540500
2000-03-14,86.06568908691406,88.2507969296971,85.77040424329473,87.73896986742359,8263900
2000-03-15,88.0736312866211,88.46734443497434,85.71135239650162,86.22317948936085,10300800
2000-03-16,92.18794250488281,92.50291305369299,88.74295212727134,89.21540795048662,25601400
2000-03-17,92.79721069335938,93.4682241267014,91.84989761099415,92.08672588158545,10272900
2000-03-20,92.32357025146484,93.0537908797898,91.43546408188041,92.75775548992833,12502300
2000-03-21,94.21817779541016,94.57342019179,91.25782449224478,91.90910221894117,13612600
2000-03-22,94.79052734375,95.26418394509291,93.90242121623204,94.45502058446544,8260000
