Date,Close
1999-01-22,0.03760487586259842
1999-01-25,0.04154451563954353
1999-01-26,0.03832095488905907
1999-01-27,0.03820173069834709
1999-01-28,0.03808164224028587
1999-01-29,0.03629105165600777
1999-02-01,0.03700801730155945
1999-02-02,0.034142911434173584
1999-02-03,0.03485896810889244
1999-02-04,0.036768727004528046
1999-02-05,0.037843260914087296
1999-02-08,0.036530349403619766
1999-02-09,0.03509734570980072
1999-02-10,0.03473977372050285
1999-02-11,0.03772407025098801
1999-02-12,0.03987312316894531
1999-02-16,0.04011150076985359
1999-02-17,0.03796243667602539
1999-02-18,0.03855931758880615
1999-02-19,0.03987312316894531
1999-02-22,0.04011150076985359
1999-02-23,0.04202127829194069
1999-02-24,0.045364055782556534
1999-02-25,0.04393196105957031
1999-02-26,0.0419020801782608
1999-03-01,0.042141370475292206
1999-03-02,0.04178288206458092
1999-03-03,0.03891777992248535
1999-03-04,0.03808164224028587
1999-03-05,0.04023068770766258
1999-03-08,0.04082756116986275
1999-03-09,0.042141370475292206
1999-03-10,0.04142441228032112
1999-03-11,0.03963383287191391
1999-03-12,0.03891777992248535
1999-03-15,0.04058917611837387
1999-03-16,0.03927627205848694
1999-03-17,0.039514653384685516
1999-03-18,0.0399923175573349
1999-03-19,0.04011150076985359
1999-03-22,0.03891777992248535
1999-03-23,0.036530349403619766
1999-03-24,0.03629105165600777
1999-03-25,0.036768727004528046
1999-03-26,0.0399923175573349
1999-03-29,0.04118603467941284
1999-03-30,0.03772407025098801
1999-03-31,0.040349870920181274
1999-04-01,0.03915615752339363
1999-04-05,0.03796243667602539
1999-04-06,0.03700801730155945
1999-04-07,0.04011150076985359
1999-04-08,0.04082756116986275
1999-04-09,0.04011150076985359
1999-04-12,0.038440123200416565
1999-04-13,0.036887917667627335
1999-04-14,0.03581429645419121
1999-04-15,0.036768727004528046
1999-04-16,0.03796243667602539
1999-04-19,0.03629105165600777
1999-04-20,0.0355750136077404
1999-04-21,0.03617186099290848
1999-04-22,0.03461968153715134
1999-04-23,0.03294919431209564
1999-04-26,0.03127780184149742
1999-04-27,0.03461968153715134
1999-04-28,0.03438129648566246
1999-04-29,0.03438129648566246
1999-04-30,0.03485896810889244
1999-05-03,0.03509734570980072
1999-05-04,0.033187560737133026
1999-05-05,0.03390361741185188
1999-05-06,0.03324716538190842
1999-05-07,0.033425942063331604
1999-05-10,0.033425942063331604
1999-05-11,0.03521653264760971
1999-05-12,0.03629105165600777
1999-05-13,0.03629105165600777
1999-05-14,0.03438129648566246
1999-05-17,0.03605268523097038
1999-05-18,0.03772407025098801
1999-05-19,0.03605268523097038
1999-05-20,0.033187560737133026
1999-05-21,0.03247152641415596
1999-05-24,0.03235142305493355
1999-05-25,0.03259069472551346
1999-05-26,0.03247152641415596
1999-05-27,0.03223222494125366
1999-05-28,0.03259069472551346
