horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.04788102276588515,0.045531770302412504,0.03857405717192532,0.05367440300998604
5,calibrated,0.05,2943,0.04370888884978101,0.045531770302412504,0.03857405717192532,0.05367440300998604
10,raw,0.05,2938,0.04721423303834808,0.04731109598366236,0.04020758846207253,0.05559688992996598
10,calibrated,0.05,2938,0.0447732259717283,0.04731109598366236,0.04020758846207253,0.05559688992996598
20,raw,0.05,2928,0.04657945127504554,0.05942622950819672,0.05142608459024932,0.06858094443887694
20,calibrated,0.05,2928,0.04716705409904567,0.05942622950819672,0.05142608459024932,0.06858094443887694
