date,sigma_garch_1d,sigma_source,delta_sigma,vol_ratio,vol_of_vol,thr_5,thr_10,thr_20,q01_5,q05_5,q10_5,q25_5,q50_5,q75_5,q90_5,q95_5,q99_5,p_raw_5,p_cal_5,mc_se_5,ci_low_5,ci_high_5,paths_used_5,y_5,realized_return_5,calib_a_5,calib_b_5,q01_10,q05_10,q10_10,q25_10,q50_10,q75_10,q90_10,q95_10,q99_10,p_raw_10,p_cal_10,mc_se_10,ci_low_10,ci_high_10,paths_used_10,y_10,realized_return_10,calib_a_10,calib_b_10,q01_20,q05_20,q10_20,q25_20,q50_20,q75_20,q90_20,q95_20,q99_20,p_raw_20,p_cal_20,mc_se_20,ci_low_20,ci_high_20,paths_used_20,y_20,realized_return_20,calib_a_20,calib_b_20,risk_combo,p_meta20,meta_a,meta_b
2012-12-19,0.004759422526742697,garch,0.0,0.8666403053221288,0.0,0.021284784606880967,0.030101231063241148,0.04256956921376193,-0.02577049632743654,-0.01699884681372519,-0.013027369369282471,-0.006748141083889908,-4.5961684639939104e-05,0.006787879832329868,0.013051123998969912,0.017178529281440123,0.0262731837374618,0.0471,0.0471,0.0012231324539885284,0.04470266039018249,0.04949733960981752,30000,0.0,0.0011646377912719608,0.0,1.0,-0.03588324858821318,-0.02491740769554407,-0.019133403406599303,-0.00999277965151199,-0.0001504558085185792,0.009710074687463266,0.01917437045448385,0.024689837336418847,0.03631928957622741,0.048766666666666666,0.048766666666666666,0.0012434961317308669,0.04632941424847417,0.05120391908485916,30000,0.0,-0.017819733648644753,0.0,1.0,-0.04876254844852979,-0.034519583175595496,-0.02692394649276375,-0.01419618380048307,-0.0004093856346480962,0.013813906374228357,0.026975174210250332,0.035046763904052744,0.05059757957073017,0.0453,0.0453,0.001200665232277507,0.042946696144736084,0.047653303855263916,30000,0.0,0.005113107971571829,0.0,1.0,0.047240000000000004,0.047240000000000004,0.0,1.0
2012-12-20,0.005052646551045127,garch,0.0,0.7892685183440714,0.0,0.02259612230883353,0.031955742626193634,0.04519224461766706,-0.02713056295192765,-0.01816296884775196,-0.01378763332966697,-0.007086784707806437,-3.327742853881377e-05,0.007183532796831815,0.014091025064424768,0.018454767316901405,0.02785071151032588,0.0486,0.0486,0.0012414781512374675,0.04616670282357456,0.051033297176425435,30000,0.0,0.0008465119624256889,0.0,1.0,-0.03813692682649867,-0.025787734166933935,-0.019795959275841157,-0.010445560920558372,-0.00014275616681586056,0.010176043952796587,0.01999492716399175,0.02634090261612075,0.03924681234971835,0.048966666666666665,0.048966666666666665,0.001245912412949137,0.04652467833728636,0.05140865499604697,30000,0.0,-0.020150997418094896,0.0,1.0,-0.0528016132023732,-0.0365797538667489,-0.028426010713678073,-0.015114709410067345,-0.00024885906892030407,0.014878944478204092,0.029377858270352775,0.03794072204369034,0.05469722434306036,0.04703333333333334,0.04703333333333334,0.0012223092746776337,0.044637607154965175,0.0494290595117015,30000,0.0,0.012209429416314865,0.0,1.0,0.048396666666666664,0.048396666666666664,0.0,1.0
2012-12-21,0.004669267616952868,garch,0.0,0.8542313073585283,0.0,0.020881599593290123,0.029531041348875398,0.041763199186580245,-0.025001348144785083,-0.01693773308306526,-0.012837747348842054,-0.006645447161590656,-9.762780959965411e-05,0.0065833672330282145,0.012987638323500162,0.016871798524053117,0.025393359093972768,0.04586666666666667,0.04586666666666667,0.0012077929672969004,0.04349939245076474,0.04823394088256859,30000,0.0,-0.0010823029742563772,0.0,1.0,-0.0345149775339927,-0.023847355252271336,-0.01847102767316835,-0.009713532896178823,-0.00013576762613737303,0.00940349111519162,0.018568195209967955,0.02422644763527833,0.035706092115200656,0.04566666666666667,0.04566666666666667,0.0012052831233396605,0.043304311744920936,0.0480290215884124,30000,0.0,-0.009593858783300435,0.0,1.0,-0.048731528796234325,-0.03349558906063644,-0.025940796560130874,-0.013709655698763867,-2.9692389181157353e-05,0.014003980899817081,0.026853819098879083,0.034644338007282026,0.050482131829694694,0.04666666666666667,0.04666666666666667,0.0012177696674506896,0.04427983811846332,0.04905349521487002,30000,0.0,0.014656867310051558,0.0,1.0,0.04596666666666667,0.04596666666666667,0.0,1.0
2012-12-24,0.004316507630551436,garch,0.0,0.9169789392202994,0.0,0.01930400897461912,0.027299991300078305,0.03860801794923824,-0.023459845012396847,-0.015440855918417457,-0.011672818979772315,-0.006067400298617576,6.088517161917384e-05,0.006282359176700836,0.011965065511704471,0.015634414525424578,0.023799226692634557,0.047266666666666665,0.047266666666666665,0.001225187453533661,0.04486529925774069,0.04966803407559264,30000,0.0,-0.00316251570870707,0.0,1.0,-0.03269255249148596,-0.022162986540176843,-0.017002045145524947,-0.008830473072593437,-0.0001556257991305321,0.008790346428607154,0.016919184082728637,0.02247192196973326,0.03308048167700367,0.0482,0.0482,0.0012366185075977688,0.04577622772510837,0.05062377227489163,30000,0.0,-0.02054963936239862,0.0,1.0,-0.044906299440710534,-0.03092953796590612,-0.024017988676449362,-0.012761541751906441,-0.00010956428632741266,0.012717928934528722,0.024462069105425473,0.03197850714931921,0.04725859888638126,0.047466666666666664,0.047466666666666664,0.0012276479167120382,0.045060476749911066,0.04987285658342226,30000,0.0,0.012634715531134155,0.0,1.0,0.047586666666666666,0.047586666666666666,0.0,1.0
2012-12-25,0.0050674126285404865,garch,0.0,0.7850000814742929,0.0,0.022662158214914838,0.032049131500177415,0.045324316429829675,-0.026942117690007247,-0.018151464757787384,-0.013765457568508855,-0.007068095373929356,3.439661820214823e-05,0.0071138044481257046,0.013988466030598203,0.018599478574431543,0.02814190419361907,0.0479,0.0479,0.001232958366423349,0.04548340160181023,0.05031659839818976,30000,0.0,-0.008115513373399441,0.0,1.0,-0.03720460994147831,-0.025803952002020358,-0.02007764579848592,-0.010450807693179992,-8.859229718677364e-05,0.010127795160731201,0.019745935605022365,0.02620519144143299,0.03865053453494579,0.0447,0.0447,0.0011930620268871188,0.04236159842730124,0.04703840157269875,30000,0.0,-0.02222689932767441,0.0,1.0,-0.052155280948947336,-0.036759659975486914,-0.028567889866557596,-0.015212697838004552,-0.0003106253975732609,0.015014014147041344,0.029096399975214914,0.03819464695206652,0.05513429915679742,0.0471,0.0471,0.0012231324539885284,0.04470266039018249,0.04949733960981752,30000,0.0,-0.0030877543936680407,0.0,1.0,0.04678,0.04678,0.0,1.0
2012-12-26,0.004687680995645075,garch,0.0,0.8414017938798626,0.0,0.020963946726192565,0.02964749778104857,0.04192789345238513,-0.02530836104526873,-0.016778830381559674,-0.012797283041512564,-0.00657723223906842,2.760227351583655e-05,0.006724098401697132,0.013045488651798965,0.017148426742119548,0.02595936633528495,0.0483,0.0483,0.0012378356110566541,0.04587384220232896,0.05072615779767105,30000,0.0,-0.018962287243583842,-0.0023550000000000003,1.0070820430533562,-0.03444908806657428,-0.024076898296134706,-0.01844701298019178,-0.009733476294932042,-0.00010556818079815455,0.009505293832168915,0.018490708233918234,0.024215341428822413,0.03557752723584746,0.047,0.047,0.0012218974315929031,0.04460508103407791,0.04939491896592209,30000,0.0,-0.022351051686941847,0.0,1.0,-0.048332457700228176,-0.0341094007276435,-0.026579103944158654,-0.014112120913344128,-0.0004885354458595836,0.013430034126557577,0.026736061839832216,0.034497703377617414,0.05106239822272633,0.04566666666666667,0.04566666666666667,0.0012052831233396605,0.043304311744920936,0.0480290215884124,30000,0.0,-0.009378179444958445,0.0,1.0,0.04738333333333333,0.04738333333333333,0.0,1.0
2012-12-27,0.005059655517736965,garch,0.0,0.8040655139049924,0.0,0.022627467360783495,0.03200007122377456,0.04525493472156699,-0.027369670364217714,-0.01844124945326404,-0.014184385371600383,-0.007384774689000229,-0.0002619241593662669,0.006926918796562098,0.0138637342729999,0.01837508624660915,0.027162414299225994,0.0474,0.0474,0.0012268284313627557,0.04499541627452899,0.049804583725471,30000,0.0,-0.020979749771370404,-0.0040732694782833105,1.0121927109548046,-0.0374421956766977,-0.025598619600182882,-0.02003673582448028,-0.010374123218265113,-2.3017119686830068e-05,0.010524040743168761,0.020068847394890458,0.026116920075835947,0.038876429484697286,0.04586666666666667,0.04586666666666667,0.0012077929672969004,0.04349939245076474,0.04823394088256859,30000,0.0,-0.013298799600373723,0.0,1.0,-0.05220134122332561,-0.03660824423825991,-0.028610153086358503,-0.014947483595646988,-0.00042794745685131863,0.014794729505429427,0.028786569941757923,0.03766664467420938,0.054885806567892464,0.0475,0.0475,0.0012280574090815135,0.045093007478200234,0.04990699252179977,30000,0.0,-0.014919777567614423,0.0,1.0,0.04696,0.04696,0.0,1.0
2012-12-28,0.004815713520736193,garch,0.0,0.8514870927425704,0.0,0.02153652558506194,0.030457246568789755,0.04307305117012388,-0.026301559642414474,-0.01718400116565278,-0.013103579544131981,-0.006774230799161202,3.20227416386043e-05,0.006903027836306808,0.013610697683232666,0.017960633802263645,0.027061114828787727,0.04906666666666667,0.04906666666666667,0.001247118397064327,0.04662231460842059,0.05151101872491275,30000,0.0,-0.008520777872278229,-0.005397326095624853,1.01621130857043,-0.03628640175521029,-0.02476786700302967,-0.019034959376618567,-0.0100002665659569,-0.00019337022932858217,0.00986577074614814,0.01930353462184256,0.025117506227634975,0.03652947290111765,0.047933333333333335,0.047933333333333335,0.001233365705280864,0.04551593655098284,0.05035073011568383,30000,0.0,-0.01076914357744041,0.0,1.0,-0.04968452375930854,-0.03479394270111663,-0.026863813480769393,-0.01410351539494814,-9.537436543471944e-06,0.01412601485751136,0.027542859266736698,0.03559603546076922,0.05219875188037515,0.0464,0.0464,0.0012144551590459538,0.04401966788826993,0.048780332111730065,30000,0.0,-0.007043047315618667,0.0,1.0,0.04819333333333334,0.04819333333333334,0.0,1.0
2012-12-31,0.004559561612535917,garch,0.0,0.8977032210830873,0.0,0.020390979426457737,0.028837199654967286,0.040781958852915474,-0.024835021254026552,-0.016309207427819654,-0.01245533216939597,-0.006425844620912002,-4.6149369146486485e-05,0.00633021481704682,0.012523470479202286,0.01641764694596316,0.024990430409515083,0.047233333333333336,0.047233333333333336,0.0012247767899438596,0.04483277082504337,0.0496338958416233,30000,0.0,-0.017442285154488313,-0.0065789927622915195,1.019760479524019,-0.033880575284542434,-0.02349389919250523,-0.018092943901842094,-0.009392370811654421,-5.5383944137510355e-05,0.009254009818060294,0.01806613654767606,0.02361392857306412,0.03499142171837923,0.04736666666666667,0.04736666666666667,0.001226418438048444,0.04496288652809172,0.04977044680524162,30000,0.0,0.00259769671462573,0.0,1.0,-0.04744216993608235,-0.0328741718779582,-0.025430523819790562,-0.013240003920383353,9.543858807536942e-05,0.013525600708246877,0.0261194855600447,0.033991945622956835,0.049802547623017925,0.04703333333333334,0.04703333333333334,0.0012223092746776337,0.044637607154965175,0.0494290595117015,30000,0.0,-0.01175361049020085,0.0,1.0,0.047233333333333336,0.047233333333333336,0.0,1.0
2013-01-01,0.004319239134004743,garch,0.0,0.9386431945121549,0.0,0.019316224629423857,0.027317266844776433,0.03863244925884771,-0.023233859116199927,-0.01563869511269415,-0.011903160100701627,-0.0060670959704279825,5.1766667400587885e-05,0.0062077358400396965,0.012041258716468,0.015759944075188135,0.02381076324615747,0.049,0.049,0.0012463145670335398,0.046557223448614266,0.05144277655138574,30000,0.0,-0.014226844097812053,-0.007650069323513919,1.0229625213490938,-0.032874551820002505,-0.02200618389010537,-0.017067451692893955,-0.008987425614394057,-8.33311817239335e-05,0.008749436495891605,0.017010818507119718,0.022414902266260462,0.0329543150252281,0.047066666666666666,0.047066666666666666,0.0012227209487526247,0.04467013360711152,0.04946319972622181,30000,0.0,-0.004263359898072805,0.0,1.0,-0.04456903601845372,-0.031082533631456567,-0.024228477808998283,-0.012636779869843795,-2.446639253128602e-05,0.01293577995307571,0.024931981751209302,0.0317614164923757,0.046742818244692064,0.04493333333333333,0.04493333333333333,0.0011960257646178153,0.042589122834682414,0.04727754383198425,30000,0.0,0.0015003448722055168,0.0,1.0,0.047606666666666665,0.047606666666666665,0.0,1.0
