horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.06434984143164571,0.05334692490655794,0.045794465444636605,0.06206392775844564
5,calibrated,0.05,2943,0.05799340244047401,0.05334692490655794,0.045794465444636605,0.06206392775844564
10,raw,0.05,2938,0.06916717154526889,0.05718175629680054,0.049349582118404185,0.06617043772222898
10,calibrated,0.05,2938,0.06426070011233993,0.05718175629680054,0.049349582118404185,0.06617043772222898
20,raw,0.05,2928,0.0721584414845173,0.06830601092896176,0.059722452181549146,0.0780208692857498
20,calibrated,0.05,2928,0.06696269812039712,0.06830601092896176,0.059722452181549146,0.0780208692857498
