horizon,type,bin_mid,bin_count,mean_predicted,mean_observed
5,raw,0.05,5057,0.04788323017599368,0.03895590270911608
5,calibrated,0.05,5057,0.04180765292990666,0.03895590270911608
10,raw,0.05,5052,0.04712023752969122,0.03721298495645289
10,calibrated,0.05,5052,0.039528993783195854,0.03721298495645289
20,raw,0.05,5042,0.046499206664022213,0.03232844109480365
20,calibrated,0.05,5042,0.03696054479430482,0.03232844109480365
