date,sigma_garch_1d,sigma_source,thr_5,thr_10,thr_20,p_raw_5,p_cal_5,mc_se_5,ci_low_5,ci_high_5,paths_used_5,y_5,realized_return_5,calib_a_5,calib_b_5,p_raw_10,p_cal_10,mc_se_10,ci_low_10,ci_high_10,paths_used_10,y_10,realized_return_10,calib_a_10,calib_b_10,p_raw_20,p_cal_20,mc_se_20,ci_low_20,ci_high_20,paths_used_20,y_20,realized_return_20,calib_a_20,calib_b_20,risk_combo,p_meta20,meta_a,meta_b
2006-01-03,0.00813653256243359,garch,0.036387679821484116,0.05145995030683264,0.07277535964296823,0.04858,0.04858,0.0006798528046570081,0.04724748850287226,0.049912511497127734,100000,0.0,0.0173642995395753,0.0,1.0,0.04587,0.04587,0.0006615583352962912,0.04457334566281927,0.04716665433718073,100000,0.0,0.008840210045707453,0.0,1.0,0.04667,0.04667,0.0006670225715821017,0.04536263575969909,0.04797736424030092,100000,0.0,0.013339170747055595,0.0,1.0,0.047385,0.047385,0.0,1.0
2006-01-04,0.007545983608688255,garch,0.033746664612252224,0.04772499077950328,0.06749332922450445,0.04682,0.04682,0.0006680410735875452,0.04551063949576841,0.04812936050423159,100000,0.0,0.01578899206982154,0.0,1.0,0.0476,0.0476,0.0006733070621937661,0.04628031815810022,0.048919681841899786,100000,0.0,0.007933477556280488,0.0,1.0,0.04749,0.04749,0.0006725674679911302,0.04617176776273738,0.04880823223726261,100000,0.0,-0.00314274408032178,0.0,1.0,0.047188,0.047188,0.0,1.0
2006-01-05,0.006974408271220142,garch,0.031190501994570057,0.04411003093794605,0.062381003989140114,0.0482,0.0482,0.0006773238516396716,0.046872445250786245,0.049527554749213755,100000,0.0,0.011147789157168964,0.0,1.0,0.04745,0.04745,0.0006722982782961741,0.0461322953745395,0.0487677046254605,100000,0.0,-0.011069441241405853,0.0,1.0,0.0472,0.0472,0.0006706128540372604,0.04588559880608697,0.04851440119391303,100000,0.0,-0.008714405275114023,0.0,1.0,0.047775,0.047775,0.0,1.0
2006-01-06,0.007052888856755252,garch,0.031541477842911045,0.044606385742735274,0.06308295568582209,0.04822,0.04822,0.0006774572429312421,0.046892183803854764,0.04954781619614523,100000,0.0,0.0018685316129476437,0.0,1.0,0.04635,0.04635,0.0006648434214159,0.04504690689402484,0.04765309310597517,100000,0.0,-0.015727417248745268,0.0,1.0,0.04662,0.04662,0.0006666826501417298,0.045313302005722214,0.04792669799427779,100000,0.0,-0.014325954003059027,0.0,1.0,0.047339,0.047339,0.0,1.0
2006-01-09,0.006655600731905195,garch,0.029764751335274738,0.04209371501900823,0.059529502670549475,0.0466,0.0466,0.0006665466225253866,0.04529356861985025,0.04790643138014976,100000,0.0,-0.0034169630432084874,0.0,1.0,0.04676,0.04676,0.0006676338996785588,0.04545143755663003,0.048068562443369975,100000,0.0,-0.017240162927993685,0.0,1.0,0.04615,0.04615,0.0006634770342672005,0.044849585012836285,0.04745041498716371,100000,0.0,-0.02554954896808781,0.0,1.0,0.046558,0.046558,0.0,1.0
2006-01-10,0.006301752986038097,garch,0.02818229610838694,0.039855785375295306,0.05636459221677388,0.04794,0.04794,0.0006755868293565233,0.046615849814461215,0.04926415018553879,100000,0.0,-0.008378600957125726,-0.002429,1.007225652403227,0.04794,0.04794,0.0006755868293565233,0.046615849814461215,0.04926415018553879,100000,0.0,-0.01737788030484322,0.0,1.0,0.04647,0.04647,0.0006656616189927131,0.04516530322677428,0.04777469677322572,100000,0.0,-0.017688090888785868,0.0,1.0,0.047646,0.047646,0.0,1.0
2006-01-11,0.006092295020622155,garch,0.027245571610189246,0.038531056885737,0.05449114322037849,0.04777,0.04777,0.0006744481232830291,0.04644808167836526,0.04909191832163474,100000,0.0,-0.007733411736953522,-0.004084336974757708,1.012213999287534,0.0464,0.0464,0.0006651844856879932,0.04509623840805153,0.04770376159194847,100000,0.0,-0.015080075964903017,0.0,1.0,0.0471,0.0471,0.0006699372358661668,0.04578692301770232,0.04841307698229769,100000,0.0,-0.022426483785664142,0.0,1.0,0.047225,0.047225,0.0,1.0
2006-01-12,0.005975952088410009,garch,0.02672527019993323,0.03779523957483109,0.05345054039986646,0.04833,0.04833,0.0006781903206327853,0.04700074697155974,0.04965925302844026,100000,0.0,-0.021972287965040027,-0.005475751123504706,1.0163645819990654,0.04659,0.04659,0.0006664785960554172,0.045283701951731384,0.047896298048268615,100000,0.0,-0.002019049599974232,0.0,1.0,0.04758,0.04758,0.0006731726643291452,0.04626058157791487,0.048899418422085124,100000,0.0,-0.016770124724579505,0.0,1.0,0.047658,0.047658,0.0,1.0
2006-01-13,0.0057545349265635095,garch,0.025735062549385537,0.03639487448586094,0.05147012509877107,0.04877,0.04877,0.0006811129649331306,0.047435018588731066,0.050104981411268935,100000,0.0,-0.017563131595085157,-0.006681251123504706,1.0199600581307757,0.04716,0.04716,0.00067034270638234,0.04584612829549061,0.04847387170450939,100000,0.0,-0.0018650467142025118,0.0,1.0,0.04824,0.04824,0.0006775906020599755,0.04691192241996245,0.04956807758003755,100000,0.0,-0.017640687993101478,0.0,1.0,0.048181,0.048181,0.0,1.0
2006-01-17,0.005641096411769887,garch,0.025227750088695225,0.03567742632359184,0.05045550017739045,0.04759,0.04759,0.0006732398673578385,0.046270449859978635,0.048909550140021366,100000,0.0,-0.013870595195957125,-0.007723258801019608,1.0231052895345558,0.04578,0.04578,0.0006609401758101863,0.04448455725541203,0.04707544274458797,100000,0.0,-0.006467570428205893,0.0,1.0,0.04612,0.04612,0.0006632717813988471,0.044819987308458265,0.04742001269154174,100000,0.0,-0.004519238304882989,0.0,1.0,0.046753,0.046753,0.0,1.0
2006-01-18,0.005637575822669346,garch,0.025212005535595917,0.035655160163065296,0.050424011071191835,0.04857,0.04857,0.0006797864010113765,0.0472376186540177,0.0499023813459823,100000,0.0,-0.00907531781424209,-0.008701829953261488,1.026029923441369,0.04732,0.04732,0.0006714225018570647,0.04600401189636016,0.048635988103639845,100000,0.0,0.004459537453551876,-0.0022935,1.0069607464043262,0.04679,0.04679,0.0006678375244024553,0.045481038452171184,0.04809896154782881,100000,0.0,0.0029728520383127677,0.0,1.0,0.047839,0.047839,0.0,1.0
2006-01-19,0.005622682368332522,garch,0.02514539998296206,0.03556096568720114,0.05029079996592412,0.04816,0.04816,0.0006770569724919757,0.04683296833391573,0.04948703166608427,100000,0.0,-0.007403921803725844,-0.009604598097044028,1.0287313747564775,0.04727,0.04727,0.0006710852933867646,0.04595467282496194,0.04858532717503806,100000,0.0,-0.010989040331765176,-0.003976414139223983,1.0120030135630909,0.04677,0.04677,0.0006677017829839905,0.04546130450535138,0.04807869549464862,100000,0.0,0.0066249152214474805,0.0,1.0,0.047615,0.047615,0.0,1.0
